case,year,month,day,location,summary,fatalities,injured,total_victims,location_type,male,age_of_shooter,race,prior_mental_illness
Living Church of God shooting,2005,Mar,12,"Brookfield, Wisconsin","Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",7,4,11,Religious,TRUE,44,White,Yes
Damageplan show shooting,2004,Dec,8,"Columbus, Ohio","Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.",5,7,12,Other,TRUE,25,White,Yes
Lockheed Martin shooting,2003,Jul,8,"Meridian, Mississippi","Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,Workplace,TRUE,48,White,Yes
Navistar shooting,2001,Feb,5,"Melrose Park, Illinois","Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide.",5,4,9,Workplace,TRUE,66,Black,No
Wakefield massacre,2000,Dec,26,"Wakefield, Massachusetts","Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,Workplace,TRUE,42,White,Yes
Hotel shooting,1999,Dec,30,"Tampa, Florida","Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.",5,3,8,Workplace,TRUE,36,Latino,Yes
Xerox killings,1999,Nov,2,"Honolulu, Hawaii","Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,Workplace,TRUE,40,Asian,Yes
Wedgwood Baptist Church shooting,1999,Sep,15,"Fort Worth, Texas","Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",8,7,15,Religious,TRUE,47,White,Yes
Atlanta day trading spree killings,1999,Jul,29,"Atlanta, Georgia","Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two day-trading firms. He started at the All-Tech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)",9,13,22,Workplace,TRUE,44,White,Yes
Columbine High School massacre,1999,Apr,20,"Littleton, Colorado","Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide.",13,24,37,School,TRUE,17,White,Yes
Thurston High School shooting,1998,May,21,"Springfield, Oregon","After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.",4,25,29,School,TRUE,15,White,Yes
Westside Middle School killings,1998,Mar,24,"Jonesboro, Arkansas","Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",5,10,15,School,TRUE,11,White,No
Connecticut Lottery shooting,1998,Mar,6,"Newington, Connecticut","Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.",5,1,6,Workplace,TRUE,35,White,Yes
Caltrans maintenance yard shooting,1997,Dec,18,"Orange, California","Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.",5,2,7,Workplace,TRUE,41,Latino,No
R.E. Phelon Company shooting,1997,Sep,15,"Aiken, South Carolina","Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later.",4,3,7,Workplace,TRUE,43,Black,No
Fort Lauderdale revenge shooting,1996,Feb,9,"Fort Lauderdale, Florida","Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,Workplace,TRUE,41,Black,Yes
Walter Rossler Company massacre,1995,Apr,3,"Corpus Christi, Texas","Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.",6,0,6,Workplace,TRUE,28,NA,No
Air Force base shooting,1994,Jun,20,"Fairchild Air Force Base, Washington","Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.",5,23,28,Military,TRUE,20,White,Yes
Chuck E. Cheese's killings,1993,Dec,14,"Aurora, Colorado","Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row.",4,1,5,Workplace,TRUE,19,Black,NA
Long Island Rail Road massacre,1993,Dec,7,"Garden City, New York","Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.",6,19,25,Other,TRUE,35,Black,Yes
Luigi's shooting,1993,Aug,6,"Fayetteville, North Carolina","Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.",4,8,12,Other,TRUE,22,White,No
101 California Street shootings,1993,Jul,1,"San Francisco, California","Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him.",9,6,15,Other,TRUE,55,White,No
Watkins Glen killings,1992,Oct,15,"Watkins Glen, New York","John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments.",5,0,5,Other,TRUE,50,White,Yes
Lindhurst High School shooting,1992,May,1,"Olivehurst, California","Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",4,10,14,School,TRUE,20,White,No
Royal Oak postal shootings,1991,Nov,14,"Royal Oak, Michigan","Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.",5,5,10,Workplace,TRUE,31,White,Yes
University of Iowa shooting,1991,Nov,1,"Iowa City, Iowa","Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",6,1,7,School,TRUE,28,Asian,NA
Luby's massacre,1991,Oct,16,"Killeen, Texas","George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.",24,20,44,Other,TRUE,35,White,No
GMAC massacre,1990,Jun,18,"Jacksonville, Florida","James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)",10,4,14,Other,TRUE,42,Black,No
Standard Gravure shooting,1989,Sep,14,"Louisville, Kentucky","Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.",9,12,21,Workplace,TRUE,47,White,Yes
Stockton schoolyard shooting,1989,Jan,17,"Stockton, California","Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",6,29,35,School,TRUE,26,White,Yes
ESL shooting,1988,Feb,16,"Sunnyvale, California","Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin.",7,4,11,Workplace,TRUE,39,White,Yes
Shopping centers spree killings,1987,Apr,23,"Palm Bay, Florida","Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009.",6,14,20,Other,TRUE,59,White,Yes
United States Postal Service shooting,1986,Aug,20,"Edmond, Oklahoma","Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.",15,6,21,Workplace,TRUE,44,White,NA
San Ysidro McDonald's massacre,1984,Jul,18,"San Ysidro, California","James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer.",22,19,41,Other,TRUE,41,White,Yes
Dallas nightclub shooting,1984,Jun,29,"Dallas, Texas","Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested.",6,1,7,Other,TRUE,39,White,Yes
Welding shop shooting,1982,Aug,20,"Miami, Florida","Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene.",8,3,11,Other,TRUE,51,White,Yes
